Facility Code,Facility Name,Land Location,Township,Range,Meridian,Latitude,Longitude,CAPACITY (MW),ADDRESS,Area
502S,SHELLWATERTON,4-1-W 5,4,1,5,49.30435,-114.06627,,,AB
504S,QUEENSTOWN,19-22-W 4,19,22,4,50.6087,-112.84969,,,AB
508S,LAKESEND,38-8-W 4,38,8,4,52.26087,-110.99408,,,AB
510S,SUNNYBROOK,50-3-W 5,50,3,5,53.30435,-114.33136,,,AB
511S,CROSSINGS,23-27-W 4,23,27,4,50.95652,-113.51241,,,AB
512S,HARTELL,19-2-W 5,19,2,5,50.6087,-114.19882,,,AB
513S,LUNDBRECK,9-1-W 5,9,1,5,49.73913,-114.06627,,,AB
515S,JUDYCREEK,63-10-W 5,63,10,5,54.43478,-115.25917,,,AB
516S,FORTYMILE,10-9-W 4,10,9,4,49.82609,-111.12662,,,AB
520S,BENNETT,23-27-W 4,23,27,4,50.95652,-113.51241,,,AB
522S,COOKINGLAKE,51-21-W 4,51,21,4,53.3690797,-113.0977387,,,AB
523S,BULLSHEAD,12-6-W 4,12,6,4,50,-110.72899,,,AB
525S,CARSELAND,22-26-W 4,22,26,4,50.86957,-113.37987,,,AB
526S,BUFFALOCREEK,48-9-W 4,48,9,4,53.13043,-111.12662,,,AB
527S,COALVALLEY,47-19-W 5,47,19,5,53.04348,-116.45206,,,AB
528S,BLUETRAIL,8-26-W 4,8,26,4,49.65217,-113.37987,,,AB
531S,SCHRADERCREEK,34-5-W 5,34,5,5,51.91304,-114.59645,,,AB
534S,ECKVILLE,39-3-W 5,39,3,5,52.34783,-114.33136,,,AB
535S,JOFFRE,38-25-W 4,38,25,4,52.26087,-113.24732,,,AB
536S,BROOKFIELD,38-25-W 4,38,25,4,52.26087,-113.24732,,,AB
538S,BUFORD,49-27-W 4,49,27,4,53.21739,-113.51241,,,AB
539S,SUNDAYCREEK,76-6-W 4,76,6,4,55.56522,-110.72899,,,AB
542S,ERVICK,46-21-W 4,46,21,4,52.95652,-112.71715,,,AB
545S,PROVOST,39-2-W 4,39,2,4,52.34783,-110.19882,,,AB
551S,CHEVRONKAYBOB,59-18-W 5,59,18,5,54.08696,-116.31952,,,AB
553S,VICTORIATRAIL - EPCOR-Victoria,56-22-W 4,56,22,4,53.54847682,-113.4995038,,,AB
554S,TRAVERS,14-20-W 4,14,20,4,50.17391,-112.5846,,,AB
562S,CYPRESS,19-1-W 4,19,1,4,50.6087,-110.06627,,,AB
572S,HIGHLAND,30-16-W 4,30,16,4,51.56522,-112.05443,,,AB
574S,NILREM,42-9-W 4,42,9,4,52.6087,-111.12662,,,AB
575S,SUNDRE,34-5-W 5,34,5,5,51.91304,-114.59645,,,AB
580S,SYLVANLAKE,38-1-W 5,38,1,5,52.26087,-114.06627,,,AB
581S,RICINUS,35-8-W 5,35,8,5,52,-114.99408,,,AB
593S,LAKEVIEW,8-21-W 4,8,21,4,49.65217,-112.71715,,,AB
594S,BATTLESANDS,42-9-W 4,42,9,4,52.6087,-111.12662,,,AB
595S,SPRUCEGROVE,53-26-W 4,53,26,4,53.56522,-113.37987,,,AB
601S,BUFFALOBIRD,27-4-W 4,27,4,4,51.30435,-110.4639,,,AB
